id,label
0,8
1,4
2,6
3,0
4,1
5,2
6,0
7,4
8,7
9,9
10,3
11,3
12,4
13,3
14,9
15,0
16,1
17,2
18,0
19,2
20,3
21,7
22,2
23,3
24,7
25,7
26,4
27,2
28,5
29,9
30,1
31,3
32,3
33,8
34,6
35,9
36,4
37,5
38,2
39,3
40,7
41,9
42,4
43,7
44,6
45,0
46,6
47,0
48,9
49,0
50,8
51,7
52,3
53,7
54,1
55,8
56,6
57,0
58,8
59,1
60,6
61,4
62,2
63,9
64,1
65,5
66,4
67,4
68,2
69,9
70,4
71,3
72,7
73,7
74,5
75,5
76,4
77,0
78,7
79,7
80,4
81,2
82,7
83,9
84,2
85,9
86,1
87,5
88,1
89,7
90,2
91,9
92,8
93,7
94,6
95,5
96,3
97,3
98,5
99,6
100,9
101,2
102,8
103,8
104,9
105,0
106,1
107,9
108,9
109,2
110,1
111,0
112,7
113,0
114,2
115,7
116,0
117,0
118,7
119,9
120,0
121,3
122,9
123,6
124,9
125,2
126,6
127,5
128,6
129,2
130,7
131,7
132,7
133,5
134,3
135,2
136,3
137,0
138,6
139,2
140,3
141,4
142,1
143,0
144,1
145,2
146,3
147,9
148,3
149,6
150,1
151,5
152,8
153,6
154,4
155,8
156,7
157,9
158,3
159,8
160,3
161,6
162,2
163,5
164,7
165,9
166,0
167,8
168,4
169,1
170,6
171,5
172,5
173,4
174,5
175,8
176,5
177,1
178,0
179,2
180,8
181,6
182,4
183,3
184,6
185,1
186,0
187,7
188,2
189,8
190,1
191,5
192,2
193,4
194,9
195,2
196,8
197,9
198,1
199,4
200,0
201,2
202,5
203,8
204,1
205,7
206,9
207,3
208,0
209,4
210,4
211,2
212,1
213,5
214,1
215,4
216,2
217,8
218,0
219,9
220,3
221,2
222,7
223,2
224,1
225,1
226,5
227,3
228,5
229,1
230,0
231,7
232,8
233,7
234,4
235,7
236,3
237,5
238,9
239,6
240,3
241,2
242,2
243,0
244,1
245,0
246,3
247,8
248,0
249,2
250,6
251,8
252,3
253,8
254,1
255,8
256,9
257,3
258,5
259,0
260,7
261,5
262,4
263,2
264,4
265,7
266,7
267,6
268,2
269,1
270,1
271,2
272,7
273,9
274,1
275,2
276,3
277,0
278,7
279,1
280,7
281,9
282,0
283,0
284,2
285,2
286,2
287,9
288,5
289,8
290,6
291,2
292,5
293,9
294,5
295,0
296,8
297,8
298,4
299,8
300,8
301,3
302,0
303,1
304,2
305,0
306,0
307,3
308,0
309,2
310,5
311,4
312,7
313,4
314,4
315,4
316,5
317,4
318,4
319,2
320,0
321,0
322,4
323,0
324,7
325,3
326,5
327,7
328,2
329,2
330,2
331,0
332,5
333,4
334,0
335,1
336,0
337,1
338,9
339,3
340,1
341,1
342,9
343,5
344,8
345,7
346,5
347,5
348,4
349,8
350,7
351,6
352,4
353,7
354,2
355,7
356,1
357,6
358,8
359,8
360,0
361,7
362,4
363,5
364,4
365,2
366,0
367,1
368,0
369,5
370,4
371,3
372,0
373,7
374,4
375,1
376,1
377,1
378,2
379,0
380,2
381,2
382,7
383,7
384,5
385,1
386,6
387,1
388,6
389,0
390,3
391,4
392,9
393,4
394,7
395,8
396,1
397,0
398,1
399,8
400,4
401,6
402,2
403,0
404,3
405,5
406,6
407,3
408,1
409,7
410,9
411,7
412,8
413,2
414,5
415,0
416,8
417,8
418,3
419,7
420,9
421,9
422,0
423,0
424,2
425,9
426,3
427,2
428,7
429,6
430,8
431,3
432,5
433,8
434,3
435,4
436,3
437,5
438,4
439,0
440,9
441,2
442,0
443,4
444,3
445,5
446,3
447,3
448,5
449,8
450,0
451,6
452,8
453,6
454,2
455,7
456,6
457,8
458,0
459,2
460,0
461,8
462,7
463,2
464,0
465,5
466,4
467,8
468,7
469,2
470,1
471,6
472,8
473,6
474,4
475,8
476,3
477,8
478,8
479,0
480,2
481,1
482,7
483,7
484,1
485,4
486,2
487,4
488,6
489,5
490,8
491,2
492,8
493,5
494,6
495,2
496,7
497,1
498,9
499,6
500,6
501,3
502,4
503,3
504,1
505,0
506,8
507,4
508,9
509,7
510,5
511,8
512,6
513,4
514,2
515,0
516,8
517,1
518,4
519,2
520,7
521,1
522,0
523,1
524,8
525,4
526,3
527,2
528,8
529,9
530,5
531,5
532,6
533,6
534,8
535,2
536,7
537,4
538,2
539,9
540,9
541,5
542,5
543,6
544,6
545,1
546,0
547,3
548,0
549,4
550,5
551,2
552,8
553,0
554,5
555,1
556,1
557,8
558,1
559,9
560,6
561,7
562,5
563,0
564,7
565,4
566,5
567,8
568,4
569,9
570,1
571,7
572,2
573,9
574,8
575,4
576,7
577,4
578,8
579,0
580,1
581,0
582,2
583,1
584,6
585,7
586,9
587,9
588,2
589,1
590,5
591,5
592,3
593,4
594,5
595,4
596,4
597,9
598,2
599,3
600,2
601,7
602,1
603,6
604,7
605,8
606,4
607,2
608,5
609,0
610,4
611,2
612,8
613,6
614,3
615,3
616,0
617,7
618,8
619,7
620,5
621,7
622,1
623,0
624,6
625,6
626,7
627,2
628,8
629,5
630,2
631,9
632,6
633,2
634,4
635,4
636,9
637,5
638,5
639,2
640,4
641,4
642,2
643,6
644,4
645,1
646,9
647,4
648,5
649,5
650,6
651,3
652,2
653,1
654,5
655,3
656,1
657,6
658,6
659,6
660,2
661,0
